epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7187,1.79409,2.84161,1.3392,0.04061,0.39885,0.20526,0.11134,1.61112,3.0681,1.23047,0.000467512,0.000467512,0.000467512
2,95.2712,1.7272,1.62417,1.26556,0.44038,0.40844,0.42216,0.22337,1.62243,1.72537,1.27249,0.000925158,0.000925158,0.000925158
3,131.265,1.63214,1.42939,1.22667,0.58188,0.49497,0.52222,0.27678,1.60077,1.4775,1.26437,0.00136394,0.00136394,0.00136394
4,167.501,1.58152,1.33732,1.20353,0.65009,0.56836,0.60045,0.32375,1.52318,1.29307,1.22076,0.00134412,0.00134412,0.00134412
5,203.614,1.51852,1.28675,1.19199,0.67217,0.56964,0.61729,0.33712,1.49288,1.24239,1.21116,0.00131582,0.00131582,0.00131582
6,239.801,1.51844,1.2589,1.18489,0.66102,0.55049,0.59012,0.31843,1.52817,1.26341,1.24143,0.00128753,0.00128753,0.00128753
7,274.549,1.49906,1.22928,1.17422,0.7014,0.5522,0.61785,0.33841,1.48456,1.18842,1.21404,0.00125923,0.00125923,0.00125923
8,310.895,1.46792,1.18449,1.16092,0.71088,0.57972,0.63555,0.35246,1.4448,1.17049,1.19571,0.00123094,0.00123094,0.00123094
9,346.935,1.45482,1.16733,1.15376,0.721,0.60144,0.65631,0.36399,1.43099,1.13407,1.16403,0.00120265,0.00120265,0.00120265
10,383.314,1.44273,1.15461,1.14631,0.74844,0.59709,0.67209,0.37826,1.38365,1.10069,1.14685,0.00117435,0.00117435,0.00117435
11,417.492,1.3974,1.13293,1.13803,0.72661,0.59891,0.6699,0.38638,1.37143,1.1129,1.15431,0.00114606,0.00114606,0.00114606
12,453.76,1.40704,1.11188,1.13287,0.76577,0.60819,0.67761,0.39152,1.3605,1.0646,1.15371,0.00111776,0.00111776,0.00111776
13,491.166,1.39294,1.10455,1.13186,0.7754,0.61335,0.69116,0.40204,1.35585,1.03532,1.1496,0.00108947,0.00108947,0.00108947
14,526.817,1.38799,1.07973,1.12255,0.77824,0.63002,0.70706,0.4156,1.32173,1.02094,1.12479,0.00106118,0.00106118,0.00106118
