epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9078,1.80794,2.8387,1.3527,0.04122,0.40278,0.20531,0.10247,1.67963,3.12746,1.27006,0.000467512,0.000467512,0.000467512
2,21.3788,1.71105,1.61731,1.26199,0.58311,0.49689,0.51929,0.26101,1.65359,1.56636,1.26718,0.000925158,0.000925158,0.000925158
3,31.7614,1.63819,1.41211,1.23099,0.57321,0.44627,0.49072,0.26562,1.55847,1.59777,1.26058,0.00136394,0.00136394,0.00136394
4,42.1446,1.57827,1.35099,1.21523,0.68735,0.5728,0.61899,0.33208,1.47275,1.23853,1.20546,0.00134412,0.00134412,0.00134412
5,52.4664,1.53561,1.29329,1.19917,0.62109,0.505,0.54549,0.28046,1.57212,1.36163,1.23905,0.00131582,0.00131582,0.00131582
6,62.7797,1.50076,1.26433,1.18266,0.69035,0.57505,0.62108,0.34485,1.44995,1.21423,1.1889,0.00128753,0.00128753,0.00128753
7,73.1477,1.46569,1.198,1.16684,0.71186,0.58208,0.64255,0.34629,1.48155,1.16181,1.19492,0.00125923,0.00125923,0.00125923
8,83.6264,1.48114,1.19454,1.16651,0.72882,0.60965,0.67584,0.37948,1.37379,1.12319,1.15714,0.00123094,0.00123094,0.00123094
9,94.0278,1.44031,1.15264,1.14818,0.73442,0.61571,0.66588,0.36985,1.43148,1.09328,1.17768,0.00120265,0.00120265,0.00120265
10,104.407,1.42386,1.14756,1.1426,0.76056,0.62445,0.69334,0.39924,1.3401,1.03662,1.13721,0.00117435,0.00117435,0.00117435
11,114.782,1.40204,1.11947,1.13482,0.74395,0.61177,0.68698,0.39061,1.34474,1.06566,1.14653,0.00114606,0.00114606,0.00114606
12,125.204,1.39832,1.10605,1.12578,0.75537,0.62936,0.69337,0.40214,1.33343,1.0309,1.13332,0.00111776,0.00111776,0.00111776
13,135.683,1.36874,1.0842,1.11893,0.76042,0.60593,0.69036,0.3982,1.33746,1.03845,1.12864,0.00108947,0.00108947,0.00108947
14,145.996,1.35928,1.06146,1.11807,0.73993,0.62786,0.69522,0.40162,1.32648,1.04349,1.12581,0.00106118,0.00106118,0.00106118
15,156.378,1.35982,1.05234,1.10971,0.7934,0.63423,0.71379,0.41164,1.32142,0.98419,1.12279,0.00103288,0.00103288,0.00103288
16,166.823,1.35172,1.0341,1.10567,0.78542,0.62871,0.6995,0.40547,1.32608,1.02404,1.1274,0.00100459,0.00100459,0.00100459
17,177.142,1.32847,1.0172,1.11007,0.79433,0.63754,0.71986,0.42356,1.30736,0.96277,1.11931,0.000976293,0.000976293,0.000976293
18,187.507,1.32691,1.01177,1.10294,0.77937,0.64316,0.7178,0.42713,1.28425,0.97952,1.10748,0.000947999,0.000947999,0.000947999
19,197.912,1.30776,0.99923,1.09262,0.79136,0.64011,0.72715,0.43707,1.26141,0.93193,1.09768,0.000919704,0.000919704,0.000919704
20,208.304,1.30237,0.99632,1.08994,0.78827,0.6524,0.72842,0.43486,1.26598,0.9329,1.0993,0.00089141,0.00089141,0.00089141
21,218.692,1.29282,0.97503,1.08393,0.79189,0.64151,0.71987,0.43192,1.27235,0.93006,1.1022,0.000863116,0.000863116,0.000863116
22,229.036,1.29419,0.97189,1.08196,0.80324,0.65087,0.73192,0.43886,1.25752,0.90773,1.09957,0.000834822,0.000834822,0.000834822
23,239.461,1.2771,0.96773,1.07916,0.78491,0.65037,0.72994,0.43631,1.26574,0.92481,1.1013,0.000806528,0.000806528,0.000806528
24,249.775,1.25058,0.94826,1.07565,0.78472,0.65828,0.73227,0.44477,1.24556,0.89981,1.08913,0.000778233,0.000778233,0.000778233
25,260.216,1.27945,0.95968,1.07336,0.8106,0.64855,0.73426,0.4419,1.24732,0.89821,1.08589,0.000749939,0.000749939,0.000749939
26,270.656,1.25167,0.92925,1.06312,0.81393,0.65432,0.73835,0.45016,1.23273,0.89021,1.0818,0.000721645,0.000721645,0.000721645
27,281.04,1.24643,0.93045,1.06484,0.80019,0.66086,0.73738,0.44629,1.23251,0.89479,1.0911,0.000693351,0.000693351,0.000693351
28,291.455,1.24985,0.92435,1.06782,0.81608,0.65049,0.74077,0.44779,1.22478,0.8809,1.08338,0.000665057,0.000665057,0.000665057
29,301.849,1.22676,0.90831,1.05453,0.78481,0.67108,0.73714,0.4489,1.22184,0.88411,1.08009,0.000636762,0.000636762,0.000636762
30,312.221,1.23324,0.91418,1.06294,0.78882,0.65365,0.73173,0.44095,1.23024,0.92012,1.08886,0.000608468,0.000608468,0.000608468
31,322.614,1.24571,0.90384,1.05581,0.80313,0.67769,0.75514,0.45797,1.21684,0.87316,1.07731,0.000580174,0.000580174,0.000580174
32,333.009,1.2299,0.89614,1.04956,0.80056,0.66334,0.74683,0.45707,1.19598,0.87684,1.07279,0.00055188,0.00055188,0.00055188
33,343.404,1.19763,0.87951,1.04396,0.80115,0.68751,0.75581,0.46543,1.18633,0.84941,1.06437,0.000523586,0.000523586,0.000523586
34,353.829,1.1903,0.86469,1.04139,0.81629,0.67087,0.7533,0.46476,1.1996,0.84023,1.07322,0.000495291,0.000495291,0.000495291
35,364.212,1.20503,0.87084,1.03713,0.79047,0.69196,0.75214,0.46432,1.20639,0.85293,1.08209,0.000466997,0.000466997,0.000466997
36,374.654,1.19829,0.86349,1.03932,0.79658,0.68499,0.75395,0.46384,1.20169,0.8495,1.07358,0.000438703,0.000438703,0.000438703
37,385.018,1.18425,0.86574,1.04015,0.81382,0.68991,0.75969,0.46783,1.18512,0.83796,1.06099,0.000410409,0.000410409,0.000410409
38,395.538,1.17628,0.84866,1.03007,0.81929,0.68769,0.76548,0.47377,1.18062,0.82159,1.05885,0.000382115,0.000382115,0.000382115
39,406.002,1.17163,0.84369,1.02766,0.80463,0.68665,0.76103,0.46897,1.1759,0.8331,1.06399,0.00035382,0.00035382,0.00035382
40,416.349,1.16098,0.85018,1.03162,0.82616,0.67744,0.76177,0.47293,1.17136,0.82051,1.06228,0.000325526,0.000325526,0.000325526
41,427.421,1.13705,0.83185,1.02981,0.79743,0.68783,0.75708,0.46769,1.19349,0.82969,1.07062,0.000297232,0.000297232,0.000297232
42,437.12,1.1212,0.79746,1.01694,0.80545,0.67602,0.75896,0.46575,1.19395,0.83766,1.06793,0.000268938,0.000268938,0.000268938
43,446.785,1.11441,0.78757,1.01125,0.81623,0.68881,0.76113,0.47129,1.17219,0.81989,1.05955,0.000240644,0.000240644,0.000240644
44,456.472,1.09646,0.77185,1.00461,0.80329,0.69476,0.76484,0.47292,1.17049,0.82757,1.05881,0.000212349,0.000212349,0.000212349
45,466.271,1.08116,0.76132,1.00037,0.81471,0.68953,0.7657,0.47797,1.16403,0.80887,1.05894,0.000184055,0.000184055,0.000184055
46,475.975,1.07734,0.75361,0.99896,0.8051,0.69246,0.7633,0.47383,1.1631,0.81426,1.06001,0.000155761,0.000155761,0.000155761
47,485.632,1.07813,0.75038,0.99451,0.81889,0.68783,0.76609,0.47682,1.163,0.81107,1.05496,0.000127467,0.000127467,0.000127467
48,495.316,1.07039,0.74913,0.99478,0.81828,0.69193,0.76793,0.47901,1.16084,0.80752,1.05622,9.91726e-05,9.91726e-05,9.91726e-05
49,505.08,1.0634,0.74163,0.99216,0.81151,0.69343,0.77109,0.48142,1.15568,0.80913,1.05371,7.08784e-05,7.08784e-05,7.08784e-05
50,514.79,1.06075,0.7369,0.98737,0.81754,0.69569,0.77065,0.48306,1.14911,0.79918,1.05212,4.25842e-05,4.25842e-05,4.25842e-05
