epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.161,1.55501,1.66664,1.26653,0.61849,0.56201,0.58664,0.32768,1.40442,1.29955,1.20764,0.000467512,0.000467512,0.000467512
2,36.1139,1.44493,1.15836,1.18022,0.61869,0.56328,0.56841,0.30549,1.49035,1.25954,1.25825,0.000925158,0.000925158,0.000925158
3,53.0848,1.46037,1.13958,1.17705,0.68401,0.59997,0.64372,0.35779,1.43876,1.20624,1.2329,0.00136394,0.00136394,0.00136394
4,69.9797,1.42065,1.09888,1.16441,0.6729,0.62056,0.65117,0.36983,1.39313,1.13213,1.20938,0.00134412,0.00134412,0.00134412
5,86.81,1.38681,1.07354,1.15917,0.72784,0.59122,0.65844,0.37268,1.40428,1.13712,1.20883,0.00131582,0.00131582,0.00131582
6,103.649,1.36045,1.05216,1.13993,0.69637,0.6326,0.67324,0.39723,1.33813,1.04578,1.1606,0.00128753,0.00128753,0.00128753
7,120.641,1.32688,0.99729,1.12347,0.77137,0.64539,0.70959,0.41544,1.32298,0.97611,1.13012,0.00125923,0.00125923,0.00125923
8,137.524,1.32642,0.9833,1.11768,0.80404,0.64965,0.72355,0.42348,1.3112,0.93741,1.14442,0.00123094,0.00123094,0.00123094
9,154.535,1.31024,0.97069,1.1094,0.74314,0.64238,0.68985,0.40963,1.28581,1.08281,1.13716,0.00120265,0.00120265,0.00120265
10,171.362,1.28915,0.95785,1.1024,0.788,0.67302,0.74046,0.44556,1.26172,0.88198,1.12391,0.00117435,0.00117435,0.00117435
11,188.226,1.26559,0.92907,1.09165,0.78598,0.66821,0.73582,0.44721,1.26115,0.92136,1.11968,0.00114606,0.00114606,0.00114606
12,205.307,1.25536,0.9123,1.07847,0.78857,0.65538,0.73132,0.45562,1.22406,0.91344,1.10164,0.00111776,0.00111776,0.00111776
13,222.211,1.21433,0.88799,1.06845,0.78325,0.67663,0.74558,0.45667,1.23421,0.88037,1.10359,0.00108947,0.00108947,0.00108947
14,239.02,1.20943,0.87979,1.06891,0.81581,0.66697,0.75029,0.45965,1.21275,0.86706,1.08254,0.00106118,0.00106118,0.00106118
15,255.925,1.2206,0.87687,1.06491,0.81592,0.70098,0.76235,0.47539,1.17991,0.83603,1.08159,0.00103288,0.00103288,0.00103288
16,272.925,1.20127,0.85553,1.05558,0.79705,0.69506,0.76386,0.47079,1.20929,0.84634,1.09508,0.00100459,0.00100459,0.00100459
17,289.615,1.17772,0.84533,1.05784,0.82067,0.69044,0.76955,0.47804,1.18522,0.8329,1.08211,0.000976293,0.000976293,0.000976293
18,306.433,1.16751,0.8375,1.04886,0.79127,0.69656,0.75856,0.4682,1.20976,0.84323,1.08173,0.000947999,0.000947999,0.000947999
19,323.213,1.16532,0.83507,1.04892,0.80993,0.69522,0.76665,0.47837,1.17903,0.81645,1.08151,0.000919704,0.000919704,0.000919704
20,340.317,1.15179,0.82748,1.04093,0.80658,0.70228,0.76326,0.47594,1.18171,0.81989,1.08077,0.00089141,0.00089141,0.00089141
21,356.982,1.134,0.80568,1.03418,0.79764,0.70759,0.77032,0.48387,1.19031,0.79419,1.08966,0.000863116,0.000863116,0.000863116
22,373.949,1.1363,0.80575,1.0311,0.80456,0.70469,0.77368,0.4883,1.15513,0.78868,1.0683,0.000834822,0.000834822,0.000834822
23,390.869,1.12962,0.80829,1.03124,0.80636,0.72437,0.78378,0.49688,1.14492,0.77774,1.06485,0.000806528,0.000806528,0.000806528
24,407.695,1.10271,0.7849,1.02523,0.82073,0.71806,0.78226,0.49153,1.14997,0.79495,1.06243,0.000778233,0.000778233,0.000778233
25,424.56,1.11157,0.7891,1.01618,0.83934,0.70158,0.7775,0.49117,1.14005,0.79225,1.06595,0.000749939,0.000749939,0.000749939
26,441.336,1.0837,0.75636,1.00952,0.83864,0.70609,0.78877,0.50233,1.13205,0.75886,1.05897,0.000721645,0.000721645,0.000721645
27,458.259,1.08045,0.75954,1.00982,0.8241,0.71687,0.78181,0.49848,1.12341,0.7714,1.05182,0.000693351,0.000693351,0.000693351
28,475.136,1.07822,0.75396,1.00662,0.82919,0.71416,0.7851,0.50221,1.11086,0.75742,1.0477,0.000665057,0.000665057,0.000665057
29,491.955,1.05769,0.73753,0.99845,0.81805,0.72274,0.79019,0.49986,1.1131,0.76692,1.05208,0.000636762,0.000636762,0.000636762
30,508.724,1.0692,0.74873,1.00879,0.83274,0.72434,0.79506,0.50526,1.12285,0.75607,1.04746,0.000608468,0.000608468,0.000608468
31,525.535,1.07095,0.73533,0.99797,0.81704,0.73131,0.79109,0.50473,1.12337,0.75951,1.05284,0.000580174,0.000580174,0.000580174
32,542.333,1.05505,0.72976,0.99374,0.82631,0.7304,0.7925,0.50751,1.09942,0.74892,1.0453,0.00055188,0.00055188,0.00055188
33,559.138,1.01502,0.70374,0.98375,0.8313,0.72206,0.79255,0.50756,1.09361,0.73962,1.0442,0.000523586,0.000523586,0.000523586
34,576.08,1.01658,0.70026,0.98463,0.82485,0.72642,0.79469,0.51057,1.10807,0.73187,1.04691,0.000495291,0.000495291,0.000495291
35,592.96,1.03686,0.71205,0.98493,0.82263,0.72848,0.7946,0.51227,1.09688,0.74061,1.04064,0.000466997,0.000466997,0.000466997
36,609.883,1.02898,0.70347,0.98404,0.83843,0.72919,0.79345,0.51225,1.09146,0.72955,1.04108,0.000438703,0.000438703,0.000438703
37,626.7,1.00564,0.69545,0.98201,0.82789,0.74142,0.80238,0.51705,1.08677,0.7278,1.0436,0.000410409,0.000410409,0.000410409
38,643.541,1.00259,0.68974,0.97342,0.84603,0.73215,0.80554,0.52224,1.09303,0.71381,1.03814,0.000382115,0.000382115,0.000382115
39,660.455,0.98928,0.67603,0.96942,0.83288,0.74263,0.80336,0.51971,1.08604,0.71117,1.04367,0.00035382,0.00035382,0.00035382
40,677.328,0.98143,0.67968,0.97347,0.82221,0.75479,0.80824,0.52328,1.08656,0.71122,1.04051,0.000325526,0.000325526,0.000325526
41,694.921,0.9732,0.64791,0.97032,0.83531,0.7341,0.80071,0.51299,1.09969,0.72281,1.05325,0.000297232,0.000297232,0.000297232
42,711.075,0.94735,0.62661,0.95458,0.835,0.72953,0.80307,0.51764,1.08332,0.72354,1.04152,0.000268938,0.000268938,0.000268938
43,727.201,0.93158,0.614,0.94956,0.83192,0.74444,0.8055,0.51915,1.08096,0.72281,1.04092,0.000240644,0.000240644,0.000240644
44,743.336,0.92101,0.60468,0.94371,0.82742,0.74357,0.80647,0.52242,1.07351,0.71235,1.03455,0.000212349,0.000212349,0.000212349
45,759.463,0.90666,0.5988,0.93891,0.8418,0.74096,0.80947,0.52493,1.07497,0.71053,1.03941,0.000184055,0.000184055,0.000184055
46,775.771,0.90338,0.59036,0.93981,0.8414,0.74019,0.80769,0.5234,1.07124,0.71019,1.04078,0.000155761,0.000155761,0.000155761
47,791.89,0.89708,0.58681,0.93471,0.83277,0.74599,0.80773,0.52496,1.06816,0.70422,1.03232,0.000127467,0.000127467,0.000127467
48,808.103,0.88847,0.58215,0.93364,0.84366,0.73831,0.80924,0.525,1.06692,0.70327,1.03766,9.91726e-05,9.91726e-05,9.91726e-05
49,824.288,0.88855,0.57669,0.93295,0.83386,0.74835,0.80836,0.52851,1.06339,0.70603,1.03437,7.08784e-05,7.08784e-05,7.08784e-05
50,840.493,0.88067,0.57354,0.92713,0.83623,0.75009,0.81134,0.53146,1.06162,0.70106,1.03178,4.25842e-05,4.25842e-05,4.25842e-05
