epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.617,1.83707,2.68225,1.37513,0.03837,0.38421,0.21372,0.11577,1.64257,3.0123,1.24669,0.000467512,0.000467512,0.000467512
2,215.514,1.72729,1.66196,1.30857,0.58035,0.32048,0.41295,0.21079,1.67758,1.98374,1.2966,0.000850405,0.000850405,0.000850405
3,322.234,1.63309,1.48635,1.26021,0.64522,0.48637,0.53975,0.28666,1.58999,1.53446,1.26511,0.00113898,0.00113898,0.00113898
4,429.3,1.58421,1.36694,1.22883,0.65192,0.5344,0.57849,0.31215,1.52013,1.36418,1.22575,0.00100459,0.00100459,0.00100459
5,536.124,1.5171,1.29158,1.20212,0.6986,0.54041,0.61598,0.34018,1.47914,1.27988,1.20007,0.000863116,0.000863116,0.000863116
6,642.903,1.46045,1.23289,1.18153,0.72833,0.57685,0.64543,0.36462,1.42853,1.18215,1.17003,0.000721645,0.000721645,0.000721645
7,749.867,1.4213,1.17565,1.15696,0.75179,0.59216,0.6642,0.37693,1.40134,1.13812,1.15414,0.000580174,0.000580174,0.000580174
8,855.729,1.37358,1.12618,1.1294,0.73441,0.60096,0.68359,0.39022,1.35983,1.09712,1.13656,0.000438703,0.000438703,0.000438703
9,961.73,1.34713,1.08925,1.11795,0.75971,0.62327,0.69714,0.40437,1.31727,1.04968,1.12077,0.000297232,0.000297232,0.000297232
10,1066.93,1.31828,1.06943,1.10589,0.77237,0.62635,0.70034,0.41396,1.29956,1.03981,1.11872,0.000155761,0.000155761,0.000155761
